Player name,Team name,Matches played,Goals scored,Assists made,Shots taken
A. Russo,Arsenal,21,12,2,73
K. Shaw,Man City,14,12,1,52
E. Terland,Man Utd,20,10,5,65
S. Martinez,West Ham,12,10,0,31
V. Asseyi,West Ham,21,9,6,38
Mariona Caldentey,Arsenal,21,9,5,33
A. Beever-Jones,Chelsea,22,9,0,46
R. Daly,Aston Villa,22,8,3,49
B. England,Spurs,19,8,1,40
G. Reiten,Chelsea,17,8,0,30
G. Clinton,Man Utd,21,8,0,43
N. Parris,Brighton,22,7,5,50
B. Mead,Arsenal,21,7,3,27
F. Maanum,Arsenal,22,7,2,57
F. Kirby,Brighton,17,7,2,27
V. Miedema,Man City,11,7,1,39
O. Smith,Liverpool,20,7,0,50
M. Fowler,Man City,17,6,7,25
K. Seike,Brighton,18,6,4,38
C. Macário,Chelsea,18,6,3,35
C. Foord,Arsenal,20,6,2,36
S. Blackstenius,Arsenal,19,5,3,34
J. Roord,Man City,19,5,3,47
E. Toone,Man Utd,18,5,2,36
L. Galton,Man Utd,18,5,2,19
J. Park,Man City,21,5,1,31
A. Russo,Arsenal,21,12,2,73
K. Shaw,Man City,14,12,1,52
E. Terland,Man Utd,20,10,5,65
S. Martinez,West Ham,12,10,0,31
V. Asseyi,West Ham,21,9,6,38
Mariona Caldentey,Arsenal,21,9,5,33
A. Beever-Jones,Chelsea,22,9,0,46
R. Daly,Aston Villa,22,8,3,49
B. England,Spurs,19,8,1,40
G. Reiten,Chelsea,17,8,0,30
G. Clinton,Man Utd,21,8,0,43
N. Parris,Brighton,22,7,5,50
B. Mead,Arsenal,21,7,3,27
F. Maanum,Arsenal,22,7,2,57
F. Kirby,Brighton,17,7,2,27
V. Miedema,Man City,11,7,1,39
O. Smith,Liverpool,20,7,0,50
M. Fowler,Man City,17,6,7,25
K. Seike,Brighton,18,6,4,38
C. Macário,Chelsea,18,6,3,35
C. Foord,Arsenal,20,6,2,36
S. Blackstenius,Arsenal,19,5,3,34
J. Roord,Man City,19,5,3,47
E. Toone,Man Utd,18,5,2,36
L. Galton,Man Utd,18,5,2,19
J. Park,Man City,21,5,1,31
A. Russo,Arsenal,21,12,2,73
K. Shaw,Man City,14,12,1,52
E. Terland,Man Utd,20,10,5,65
S. Martinez,West Ham,12,10,0,31
V. Asseyi,West Ham,21,9,6,38
Mariona Caldentey,Arsenal,21,9,5,33
A. Beever-Jones,Chelsea,22,9,0,46
R. Daly,Aston Villa,22,8,3,49
B. England,Spurs,19,8,1,40
G. Reiten,Chelsea,17,8,0,30
G. Clinton,Man Utd,21,8,0,43
N. Parris,Brighton,22,7,5,50
B. Mead,Arsenal,21,7,3,27
F. Maanum,Arsenal,22,7,2,57
F. Kirby,Brighton,17,7,2,27
V. Miedema,Man City,11,7,1,39
O. Smith,Liverpool,20,7,0,50
M. Fowler,Man City,17,6,7,25
K. Seike,Brighton,18,6,4,38
C. Macário,Chelsea,18,6,3,35
C. Foord,Arsenal,20,6,2,36
S. Blackstenius,Arsenal,19,5,3,34
J. Roord,Man City,19,5,3,47
E. Toone,Man Utd,18,5,2,36
L. Galton,Man Utd,18,5,2,19
J. Park,Man City,21,5,1,31
