Name,Symbol,Price_usd,Change,Volume_in_M,PE_ratio,Market_cap_in_B
"Lucid Group, Inc.",LCID,2.16,0.11,200.074,,6.589
NVIDIA Corporation,NVDA,159.34,2.09,142.314,51.23,3886.0
Intel Corporation,INTC,22.49,0.61,60.704,,98.101
Ford Motor Company,F,11.81,0.04,60.311,9.45,46.963
"Tesla, Inc.",TSLA,315.35,-0.3,58.042,182.28,1016.0
"Robinhood Markets, Inc.",HOOD,94.4,-3.58,56.374,53.94,83.301
TeraWulf Inc.,WULF,5.26,0.22,53.226,,2.049
Cipher Mining Inc.,CIFR,6.05,0.37,47.639,,2.246
"SoFi Technologies, Inc.",SOFI,18.57,0.45,44.098,43.19,20.527
IREN Limited,IREN,16.82,1.16,42.478,,4.068
Palantir Technologies Inc.,PLTR,134.36,2.24,41.812,584.17,317.077
"Bitmine Immersion Technologies, Inc.",BMNR,135.0,76.5,36.104,,0.818545
Apple Inc.,AAPL,213.55,1.11,34.697,33.21,3190.0
"Rigetti Computing, Inc.",RGTI,13.45,0.37,34.467,,4.341
Sunrun Inc.,RUN,10.5,1.51,33.499,,2.399
Centene Corporation,CNC,33.31,-0.47,32.984,4.91,16.575
B2Gold Corp.,BTG,3.66,0.0,32.577,,4.857
Nu Holdings Ltd.,NU,13.6,0.11,32.596,30.91,65.612
"MARA Holdings, Inc.",MARA,17.66,-0.14,32.143,,6.215
American Airlines Group Inc.,AAL,11.69,0.06,30.238,11.69,7.71
"Datadog, Inc.",DDOG,155.15,20.14,29.997,330.11,53.582
D-Wave Quantum Inc.,QBTS,16.79,0.81,29.877,,5.246
"Amazon.com, Inc.",AMZN,223.41,3.49,29.295,36.39,2372.0
"Oscar Health, Inc.",OSCR,16.47,-0.15,29.008,41.17,4.195
"Advanced Micro Devices, Inc.",AMD,137.91,-0.61,28.332,100.66,223.607
