Name,Symbol,Price_usd,Change,Volume_in_M,PE_ratio,Market_cap_in_B
"Tesla, Inc.",TSLA,315.35,-0.3,58.042,182.28,1016.0
Luckin Coffee Inc.,LKNCY,38.49,0.5,142.314,51.23,3886.0
Intel Corporation,INTC,22.49,0.61,60.704,,98.101
Ford Motor Company,F,11.81,0.04,60.311,9.45,46.963
"Tesla, Inc.",TSLA,315.35,-0.3,58.042,182.28,1016.0
"Robinhood Markets, Inc.",HOOD,94.4,-3.58,56.374,53.94,83.301
TeraWulf Inc.,WULF,5.26,0.22,53.226,,2.049
Cipher Mining Inc.,CIFR,6.05,0.37,47.639,,2.246
"SoFi Technologies, Inc.",SOFI,18.57,0.45,44.098,43.19,20.527
IREN Limited,IREN,16.82,1.16,42.478,,4.068
Palantir Technologies Inc.,PLTR,134.36,2.24,41.812,584.17,317.077
"Bitmine Immersion Technologies, Inc.",BMNR,135.0,76.5,36.104,,0.818545
Apple Inc.,AAPL,213.55,1.11,34.697,33.21,3190.0
"Rigetti Computing, Inc.",RGTI,13.45,0.37,34.467,,4.341
Sunrun Inc.,RUN,10.5,1.51,33.499,,2.399
Stellantis N.V.,STLA,10.31,-0.02,28.051,4.75,29.816
"Riot Platforms, Inc.",RIOT,12.17,-0.03,27.425,,4.348
Pfizer Inc.,PFE,25.38,0.06,27.105,18.39,144.295
Sprott Physical Silver Trust,PSLV,12.54,0.11,25.116,4.12,6.607
"SoundHound AI, Inc.",SOUN,11.09,-0.16,24.813,,4.455
Cleveland-Cliffs Inc.,CLF,8.82,0.06,24.915,,4.363
"Warner Bros. Discovery, Inc.",WBD,11.22,0.1,24.146,,27.759
The AZEK Company Inc.,AZEK,54.35,-0.51,26.82,52.77,7.818
Vale S.A.,VALE,10.22,-0.06,23.585,7.41,43.627
Banco Bradesco S.A.,BBD,3.1,0.0634,22.673,10.0,30.358
Huntington Bancshares Incorporated,HBAN,17.54,0.14,21.787,13.49,25.552
Snap Inc.,SNAP,9.27,-0.11,21.667,,15.492
Alphabet Inc.,GOOGL,179.53,0.89,21.563,20.04,2184.0
"Rivian Automotive, Inc.",RIVN,13.07,0.2,21.513,,15.657
"Joby Aviation, Inc.",JOBY,10.55,0.39,21.328,,8.878
Bank of America Corporation,BAC,48.93,0.22,21.578,14.61,368.535
"CleanSpark, Inc.",CLSK,12.25,-0.23,20.651,,3.442
Carnival Corporation & plc,CCL,29.96,0.31,19.978,15.69,40.622
Amcor plc,AMCR,9.63,-0.06,20.325,17.2,22.066
QuantumScape Corporation,QS,7.02,0.22,19.754,,3.924
Grab Holdings Limited,GRAB,4.87,-0.03,19.304,487.0,20.084
TMC the metals company Inc.,TMC,7.11,0.73,19.253,,3.577
Archer Aviation Inc.,ACHR,10.17,0.19,18.85,,5.583
Quantum Computing Inc.,QUBT,21.13,0.48,18.309,,3.337
"Super Micro Computer, Inc.",SMCI,48.56,-0.18,18.284,26.39,28.981
"Cisco Systems, Inc.",CSCO,69.37,1.19,17.973,28.31,274.705
Applied Digital Corporation,APLD,10.45,-0.11,17.884,,2.352
AGNC Investment Corp.,AGNC,9.39,-0.03,17.361,26.08,9.581
"Hims & Hers Health, Inc.",HIMS,47.98,0.52,17.218,70.56,10.739
Itaú Unibanco Holding S.A.,ITUB,6.92,0.11,16.924,9.61,70.781
Oracle Corporation,ORCL,237.32,7.34,18.441,54.68,666.592
"Recursion Pharmaceuticals, Inc.",RXRX,5.27,0.06,16.507,,2.142
CNH Industrial N.V.,CNH,13.69,-0.07,16.916,17.11,17.105
Transocean Ltd.,RIG,2.77,-0.03,15.765,,2.447
Barclays PLC,BCS,18.26,0.38,15.535,8.86,64.597
PG&E Corporation,PCG,13.91,-0.08,15.891,12.76,30.57
Gerdau S.A.,GGB,3.13,0.08,15.359,10.79,5.976
Planet Labs PBC,PL,6.85,0.71,15.259,,2.079
First Majestic Silver Corp.,AG,8.46,-0.05,15.114,,4.13
NIO Inc.,NIO,3.51,0.03,15.243,,7.612
AT&T Inc.,T,28.36,0.05,21.085,17.4,204.213
ADT Inc.,ADT,8.47,0.2,15.209,13.03,7.085
Telefonaktiebolaget LM Ericsson (publ),ERIC,8.54,0.0,14.541,170.8,28.524
